date,strategy,nav
2022-11-08,Bandit Meta-Strategy (UCB),3.1980633773807132
2022-11-09,Bandit Meta-Strategy (UCB),3.123248209115572
2022-11-10,Bandit Meta-Strategy (UCB),3.2386484730352416
2022-11-11,Bandit Meta-Strategy (UCB),3.275020511442954
2022-11-14,Bandit Meta-Strategy (UCB),3.2776008801036567
2022-11-15,Bandit Meta-Strategy (UCB),3.3186260469595914
2022-11-16,Bandit Meta-Strategy (UCB),3.3041257574130865
2022-11-17,Bandit Meta-Strategy (UCB),3.2931146124516175
2022-11-18,Bandit Meta-Strategy (UCB),3.294151490533288
2022-11-21,Bandit Meta-Strategy (UCB),3.287190774480293
2022-11-22,Bandit Meta-Strategy (UCB),3.330827893566423
2022-11-23,Bandit Meta-Strategy (UCB),3.3434397299344236
2022-11-25,Bandit Meta-Strategy (UCB),3.342122089295336
2022-11-28,Bandit Meta-Strategy (UCB),3.3142958365240354
2022-11-29,Bandit Meta-Strategy (UCB),3.305134845352658
2022-11-30,Bandit Meta-Strategy (UCB),3.3041221541204164
2022-12-01,Bandit Meta-Strategy (UCB),3.3173747844898225
2022-12-02,Bandit Meta-Strategy (UCB),3.3156168533320867
2022-12-05,Bandit Meta-Strategy (UCB),3.25997182055971
2022-12-06,Bandit Meta-Strategy (UCB),3.1969726490091217
2022-12-07,Bandit Meta-Strategy (UCB),3.1932370821587575
2022-12-08,Bandit Meta-Strategy (UCB),3.217214278881214
2022-12-09,Bandit Meta-Strategy (UCB),3.2012964062525118
2022-12-12,Bandit Meta-Strategy (UCB),3.2291314093816337
2022-12-13,Bandit Meta-Strategy (UCB),3.252937888253287
2022-12-14,Bandit Meta-Strategy (UCB),3.2533511268328574
2022-12-15,Bandit Meta-Strategy (UCB),3.192348958578233
2022-12-16,Bandit Meta-Strategy (UCB),3.1475572156266307
2022-12-19,Bandit Meta-Strategy (UCB),3.12982098783443
2022-12-20,Bandit Meta-Strategy (UCB),3.1315055823009343
2022-12-21,Bandit Meta-Strategy (UCB),3.1663923527977476
2022-12-22,Bandit Meta-Strategy (UCB),3.1195802795581997
2022-12-23,Bandit Meta-Strategy (UCB),3.142385287291162
2022-12-27,Bandit Meta-Strategy (UCB),3.1176057557952532
2022-12-28,Bandit Meta-Strategy (UCB),3.086339407247149
2022-12-29,Bandit Meta-Strategy (UCB),3.1342095225744413
2022-12-30,Bandit Meta-Strategy (UCB),3.13332280580867
2023-01-03,Bandit Meta-Strategy (UCB),3.1163106993314726
2023-01-04,Bandit Meta-Strategy (UCB),3.12778891735186
2023-01-05,Bandit Meta-Strategy (UCB),3.109560061210703
2023-01-06,Bandit Meta-Strategy (UCB),3.170402666368318
2023-01-09,Bandit Meta-Strategy (UCB),3.129726533278286
2023-01-10,Bandit Meta-Strategy (UCB),3.1408478454982274
2023-01-11,Bandit Meta-Strategy (UCB),3.169817079610668
2023-01-12,Bandit Meta-Strategy (UCB),3.1781267326004303
2023-01-13,Bandit Meta-Strategy (UCB),3.190171452970287
2023-01-17,Bandit Meta-Strategy (UCB),3.1707109265081654
2023-01-18,Bandit Meta-Strategy (UCB),3.1113374987753404
2023-01-19,Bandit Meta-Strategy (UCB),3.097348814966578
2023-01-20,Bandit Meta-Strategy (UCB),3.1519418966714836
2023-01-23,Bandit Meta-Strategy (UCB),3.177315899580231
2023-01-24,Bandit Meta-Strategy (UCB),3.1795346038321837
2023-01-25,Bandit Meta-Strategy (UCB),3.1806946718835585
2023-01-26,Bandit Meta-Strategy (UCB),3.223929998606044
2023-01-27,Bandit Meta-Strategy (UCB),3.244343976024542
2023-01-30,Bandit Meta-Strategy (UCB),3.1828251694847864
2023-01-31,Bandit Meta-Strategy (UCB),3.2325080668803587
2023-02-01,Bandit Meta-Strategy (UCB),3.2590548811572058
2023-02-02,Bandit Meta-Strategy (UCB),3.3206782006147133
2023-02-03,Bandit Meta-Strategy (UCB),3.287488030128453
2023-02-06,Bandit Meta-Strategy (UCB),3.273571654913965
2023-02-07,Bandit Meta-Strategy (UCB),3.3067918519451727
2023-02-08,Bandit Meta-Strategy (UCB),3.2761279266149144
2023-02-09,Bandit Meta-Strategy (UCB),3.252126121298016
2023-02-10,Bandit Meta-Strategy (UCB),3.2634625035574754
2023-02-13,Bandit Meta-Strategy (UCB),3.284906948892688
2023-02-14,Bandit Meta-Strategy (UCB),3.28704280103293
2023-02-15,Bandit Meta-Strategy (UCB),3.2884745945862197
2023-02-16,Bandit Meta-Strategy (UCB),3.236645706224346
2023-02-17,Bandit Meta-Strategy (UCB),3.2374874075010345
2023-02-21,Bandit Meta-Strategy (UCB),3.1932485007379374
2023-02-22,Bandit Meta-Strategy (UCB),3.18118402767881
2023-02-23,Bandit Meta-Strategy (UCB),3.1826476692602306
