date,strategy,drawdown
2025-10-09,2. Equal Weight,-0.0008545463883706136
2025-10-10,2. Equal Weight,-0.0008874730784968468
2025-10-13,2. Equal Weight,0.0
2025-10-14,2. Equal Weight,-0.008681450458294592
2025-10-15,2. Equal Weight,-0.0030269529327838517
2025-10-16,2. Equal Weight,-0.010458976336767128
2025-10-17,2. Equal Weight,-0.010482464719057432
2025-10-20,2. Equal Weight,0.0
2025-10-21,2. Equal Weight,-0.0030361786906204823
2025-10-22,2. Equal Weight,-0.00783255709327126
2025-10-23,2. Equal Weight,-0.001974711075357818
2025-10-24,2. Equal Weight,-0.0019935051464777614
2025-10-27,2. Equal Weight,0.0
2025-10-28,2. Equal Weight,0.0
2025-10-29,2. Equal Weight,0.0
2025-10-30,2. Equal Weight,-0.017503243231733294
2025-10-31,2. Equal Weight,-0.017557411531053568
2025-11-03,2. Equal Weight,-0.013331339219298338
2025-11-04,2. Equal Weight,-0.027001772673514658
2025-11-05,2. Equal Weight,-0.021909444760860725
2025-11-06,2. Equal Weight,-0.03602819227007077
2025-11-07,2. Equal Weight,-0.03605182154106595
2025-11-10,2. Equal Weight,-0.01635014601786909
2025-11-11,2. Equal Weight,-0.014470012290120531
2025-11-12,2. Equal Weight,-0.020905585111392642
2025-11-13,2. Equal Weight,-0.04159286876447382
2025-11-14,2. Equal Weight,-0.0416214213506297
2025-11-17,2. Equal Weight,-0.04399107677265775
2025-11-18,2. Equal Weight,-0.057605632854643714
2025-11-19,2. Equal Weight,-0.05005872310808461
2025-11-20,2. Equal Weight,-0.06253043134796535
2025-11-21,2. Equal Weight,-0.06256713958243344
2025-11-24,2. Equal Weight,-0.03972406187576444
2025-11-25,2. Equal Weight,-0.030889868110738204
2025-11-26,2. Equal Weight,-0.03091093096760277
2025-05-30,3. Quintile Momentum,0.0
2025-06-02,3. Quintile Momentum,0.0
2025-06-03,3. Quintile Momentum,0.0
2025-06-04,3. Quintile Momentum,0.0
2025-06-05,3. Quintile Momentum,0.0
2025-06-06,3. Quintile Momentum,0.0
2025-06-09,3. Quintile Momentum,0.0
2025-06-10,3. Quintile Momentum,0.0
2025-06-11,3. Quintile Momentum,0.0
2025-06-12,3. Quintile Momentum,0.0
2025-06-13,3. Quintile Momentum,0.0
2025-06-16,3. Quintile Momentum,0.0
2025-06-17,3. Quintile Momentum,0.0
2025-06-18,3. Quintile Momentum,0.0
2025-06-20,3. Quintile Momentum,0.0
2025-06-23,3. Quintile Momentum,0.0
2025-06-24,3. Quintile Momentum,0.0
